     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,         0,         0,   0.010,pymatching,0a85757493fc6471ae811095e6f1daa649b69f593c2859ff29efab25ca6950ff,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
      7441,         0,         0,   0.009,pymatching,39c74fbd4928054269c234bedd6206c1559d25114ac836f822276397e63a909b,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      1297,       113,         0,   0.015,pymatching,e986706408f9763cf09653f326670aee51ce701854d5ef0d1494e504ec5dd2f6,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.005}",
      4369,         0,         0,   0.010,pymatching,5e214eef1ebcdeb505c25e4670e3c816931c00c01b9f2d603e418012126af703,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      2321,        21,         0,   0.012,pymatching,98f7d6ecc552bd24d9c08d0d7bacb2d69d417699916e2b01918d052347d5ee85,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      1297,       427,         0,   0.030,pymatching,bb203447effaf24b7b1174bb9a2dd19347337da45a72ca2191837c8df09c994b,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.01}",
      2321,         0,         0,   0.007,pymatching,ee361094d26450a5f2ae389547d4ffc1a3f673ecaf4b429b27feeffb9aed96d6,"{""base"":""ZXinterleaved"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
      2321,         0,         0,   0.008,pymatching,1474bef09726297c85e45a30f3b132a6457b4251af3fa2bf9dd55c9f0915e273,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
     10240,         0,         0,   0.011,pymatching,39c74fbd4928054269c234bedd6206c1559d25114ac836f822276397e63a909b,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      3072,        43,         0,   0.014,pymatching,98f7d6ecc552bd24d9c08d0d7bacb2d69d417699916e2b01918d052347d5ee85,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.002}",
      3072,         0,         0,   0.018,pymatching,0a85757493fc6471ae811095e6f1daa649b69f593c2859ff29efab25ca6950ff,"{""base"":""ZXinterleaved"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
      8192,         0,         0,   0.014,pymatching,5e214eef1ebcdeb505c25e4670e3c816931c00c01b9f2d603e418012126af703,"{""base"":""NZ"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      1297,         0,         0,   0.010,pymatching,0165fb1d54745115f89cefdc84dbfb9b0c02e3917f77839d6be21f9d3fa52571,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
      2048,       198,         0,   0.019,pymatching,e986706408f9763cf09653f326670aee51ce701854d5ef0d1494e504ec5dd2f6,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.005}",
      7441,         0,         0,   0.010,pymatching,c29e7995fd9895b48d97e2bdd50079a37267c85b68d0348b7df1a55099055084,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
      7168,         0,         0,   0.015,pymatching,ee361094d26450a5f2ae389547d4ffc1a3f673ecaf4b429b27feeffb9aed96d6,"{""base"":""ZXinterleaved"",""d"":5,""l"":4,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
      6144,         0,         0,   0.016,pymatching,1474bef09726297c85e45a30f3b132a6457b4251af3fa2bf9dd55c9f0915e273,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      2321,         0,         0,   0.012,pymatching,b3131310ea873fd2065cd1c3177b29e82f41bf63b705c8b139d8733109f49922,"{""base"":""NZ"",""d"":5,""l"":12,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
      1297,         0,         0,   0.011,pymatching,287c1a2d74f22cba1eeb649eaa41b87adabc397d1287b19c18891b6d8d430636,"{""base"":""ZXinterleaved"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.001}",
     17408,         0,         0,   0.018,pymatching,39c74fbd4928054269c234bedd6206c1559d25114ac836f822276397e63a909b,"{""base"":""ZXinterleaved"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0001}",
      2321,         0,         0,   0.011,pymatching,3910ea1323d6e3b7af91889031a3bfb98c34559595b12f9756a89fac0a335d5a,"{""base"":""NZ"",""d"":5,""l"":8,""name"":null,""noise_model"":""SI1000"",""p"":0.0005}",
     11264,         0,         0,   0.013,pymatching,c29e7995fd9895b48d97e2bdd50079a37267c85b68d0348b7df1a55099055084,"{""base"":""NZ"",""d"":5,""l"":0,""name"":null,""noise_model"":""SI1000"",""p"":0.0002}",
