     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     33041,         2,         0,   0.009,pymatching,3c8e46b57c3cb84945276bbf70e98ec81b43158ed3dfeae71f07318b3347c4c3,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
     49152,         5,         0,   0.013,pymatching,3c8e46b57c3cb84945276bbf70e98ec81b43158ed3dfeae71f07318b3347c4c3,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
     69632,         6,         0,   0.018,pymatching,3c8e46b57c3cb84945276bbf70e98ec81b43158ed3dfeae71f07318b3347c4c3,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
     95232,        17,         0,   0.025,pymatching,3c8e46b57c3cb84945276bbf70e98ec81b43158ed3dfeae71f07318b3347c4c3,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      1297,         3,         0,   0.015,pymatching,3137eb10eb0a8f54a10f6d23c49ff8daca33e4c51fe247668a3d4539f4bddf35,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      2048,        10,         0,   0.020,pymatching,3137eb10eb0a8f54a10f6d23c49ff8daca33e4c51fe247668a3d4539f4bddf35,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
       273,        15,         0,   0.024,pymatching,631f1c452c43b6248151ab2e6d26c13ebcc02dc4c8d9048e701bb34d9c705afa,"{""base"":""NZ"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
    134144,        17,         0,   0.035,pymatching,3c8e46b57c3cb84945276bbf70e98ec81b43158ed3dfeae71f07318b3347c4c3,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      2048,         4,         0,   0.021,pymatching,3137eb10eb0a8f54a10f6d23c49ff8daca33e4c51fe247668a3d4539f4bddf35,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      3072,         7,         0,   0.031,pymatching,3137eb10eb0a8f54a10f6d23c49ff8daca33e4c51fe247668a3d4539f4bddf35,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
      5393,         5,         0,   0.011,pymatching,56df9968a521268f247b0f9dd616cf2307c3cf5d20ba647fc00dd64f92f8991c,"{""base"":""ZXinterleaved"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
    188416,        23,         0,   0.049,pymatching,3c8e46b57c3cb84945276bbf70e98ec81b43158ed3dfeae71f07318b3347c4c3,"{""base"":""NZ"",""d"":3,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0002}",
      7168,         9,         0,   0.014,pymatching,56df9968a521268f247b0f9dd616cf2307c3cf5d20ba647fc00dd64f92f8991c,"{""base"":""ZXinterleaved"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      1024,        61,         0,   0.079,pymatching,631f1c452c43b6248151ab2e6d26c13ebcc02dc4c8d9048e701bb34d9c705afa,"{""base"":""NZ"",""d"":9,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.005}",
      3345,         0,         0,   0.012,pymatching,a7fbab2d40c091c110934556eb196df20ee335f33db25c6a5268037e6dd294b7,"{""base"":""ZXinterleaved"",""d"":8,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.0001}",
     10240,         7,         0,   0.019,pymatching,56df9968a521268f247b0f9dd616cf2307c3cf5d20ba647fc00dd64f92f8991c,"{""base"":""ZXinterleaved"",""d"":5,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.001}",
      4096,         5,         0,   0.042,pymatching,3137eb10eb0a8f54a10f6d23c49ff8daca33e4c51fe247668a3d4539f4bddf35,"{""base"":""NZ"",""d"":7,""name"":null,""noise_model"":""uniform_depolarizing"",""p"":0.002}",
